#atoms per molecule N = 36
#distance_atoms = 0.255
#molecule_length = 8.925
#layers = 2

#LJ_epsilon	CD_epsilon	lateral_gap_min	radial_gap_min	offset_min	D-periodicity_min	E_CD_min	E_LJ_min	E_total_min
0.100	130.000	1.008	1.020	4.845	5.100	-13.621	-21.754	-35.375
0.100	140.000	1.008	1.020	5.100	4.845	-12.648	-21.754	-34.402
0.100	150.000	1.008	1.020	4.845	5.100	-11.805	-21.754	-33.558
0.100	160.000	1.008	1.020	5.100	4.845	-11.067	-21.754	-32.821
0.100	170.000	1.008	1.020	5.100	4.845	-10.416	-21.754	-32.170
0.100	180.000	1.008	1.020	5.100	4.845	-9.837	-21.754	-31.591
0.100	190.000	1.008	1.020	5.100	4.845	-9.320	-21.754	-31.073
0.100	200.000	1.008	1.020	5.100	4.845	-8.854	-21.754	-30.607

0.110	10.000	1.008	0.765	4.845	4.845	-209.603	-7.453	-217.055
0.110	20.000	1.008	1.020	4.845	5.100	-88.537	-23.929	-112.466
0.110	30.000	1.008	1.020	4.845	5.100	-59.024	-23.929	-82.953
0.110	40.000	1.008	1.020	4.845	5.100	-44.268	-23.929	-68.197
0.110	50.000	1.008	1.020	5.100	4.845	-35.415	-23.929	-59.344
0.110	60.000	1.008	1.020	5.100	4.845	-29.512	-23.929	-53.441
0.110	70.000	1.008	1.020	4.845	5.100	-25.296	-23.929	-49.225
0.110	80.000	1.008	1.020	4.845	5.100	-22.134	-23.929	-46.063
0.110	90.000	1.008	1.020	4.845	5.100	-19.675	-23.929	-43.604
0.110	100.000	1.008	1.020	4.845	5.100	-17.707	-23.929	-41.636
0.110	110.000	1.008	1.020	4.845	5.100	-16.098	-23.929	-40.027
0.110	120.000	1.008	1.020	5.100	4.845	-14.756	-23.929	-38.685
0.110	130.000	1.008	1.020	5.100	4.845	-13.621	-23.929	-37.550
0.110	140.000	1.008	1.020	4.845	5.100	-12.648	-23.929	-36.577
0.110	150.000	1.008	1.020	4.845	5.100	-11.805	-23.929	-35.734
0.110	160.000	1.008	1.020	4.845	5.100	-11.067	-23.929	-34.996
0.110	170.000	1.008	1.020	5.100	4.845	-10.416	-23.929	-34.345
0.110	180.000	1.008	1.020	5.100	4.845	-9.837	-23.929	-33.766
0.110	190.000	1.008	1.020	4.845	5.100	-9.320	-23.929	-33.249
0.110	200.000	1.008	1.020	4.845	5.100	-8.854	-23.929	-32.783

0.120	10.000	1.008	0.765	4.845	4.845	-209.603	-8.130	-217.733
0.120	20.000	1.008	1.020	4.845	5.100	-88.537	-26.104	-114.641
0.120	30.000	1.008	1.020	4.845	5.100	-59.024	-26.104	-85.129
0.120	40.000	1.008	1.020	5.100	4.845	-44.268	-26.104	-70.373
0.120	50.000	1.008	1.020	5.100	4.845	-35.415	-26.104	-61.519
0.120	60.000	1.008	1.020	5.100	4.845	-29.512	-26.104	-55.617
0.120	70.000	1.008	1.020	4.845	5.100	-25.296	-26.104	-51.400
0.120	80.000	1.008	1.020	4.845	5.100	-22.134	-26.104	-48.238
0.120	90.000	1.008	1.020	4.845	5.100	-19.675	-26.104	-45.779
0.120	100.000	1.008	1.020	4.845	5.100	-17.707	-26.104	-43.812
0.120	110.000	1.008	1.020	4.845	5.100	-16.098	-26.104	-42.202
0.120	120.000	1.008	1.020	5.100	4.845	-14.756	-26.104	-40.860
0.120	130.000	1.008	1.020	5.100	4.845	-13.621	-26.104	-39.725
0.120	140.000	1.008	1.020	4.845	5.100	-12.648	-26.104	-38.752
0.120	150.000	1.008	1.020	4.845	5.100	-11.805	-26.104	-37.909
0.120	160.000	1.008	1.020	4.845	5.100	-11.067	-26.104	-37.171
0.120	170.000	1.008	1.020	5.100	4.845	-10.416	-26.104	-36.520
0.120	180.000	1.008	1.020	5.100	4.845	-9.837	-26.104	-35.942
0.120	190.000	1.008	1.020	4.845	5.100	-9.320	-26.104	-35.424
0.120	200.000	1.008	1.020	4.845	5.100	-8.854	-26.104	-34.958

0.130	10.000	1.008	0.765	4.845	4.845	-209.603	-8.808	-218.410
0.130	20.000	1.008	1.020	4.845	5.100	-88.537	-28.280	-116.816
0.130	30.000	1.008	1.020	4.845	5.100	-59.024	-28.280	-87.304
0.130	40.000	1.008	1.020	4.845	5.100	-44.268	-28.280	-72.548
0.130	50.000	1.008	1.020	5.100	4.845	-35.415	-28.280	-63.694
0.130	60.000	1.008	1.020	5.100	4.845	-29.512	-28.280	-57.792
0.130	70.000	1.008	1.020	4.845	5.100	-25.296	-28.280	-53.576
0.130	80.000	1.008	1.020	4.845	5.100	-22.134	-28.280	-50.414
0.130	90.000	1.008	1.020	4.845	5.100	-19.675	-28.280	-47.954
0.130	100.000	1.008	1.020	4.845	5.100	-17.707	-28.280	-45.987
0.130	110.000	1.008	1.020	4.845	5.100	-16.098	-28.280	-44.377
0.130	120.000	1.008	1.020	5.100	4.845	-14.756	-28.280	-43.036
0.130	130.000	1.008	1.020	5.100	4.845	-13.621	-28.280	-41.901
0.130	140.000	1.008	1.020	4.845	5.100	-12.648	-28.280	-40.928
0.130	150.000	1.008	1.020	4.845	5.100	-11.805	-28.280	-40.085
0.130	160.000	1.008	1.020	4.845	5.100	-11.067	-28.280	-39.347
0.130	170.000	1.008	1.020	5.100	4.845	-10.416	-28.280	-38.696
0.130	180.000	1.008	1.020	5.100	4.845	-9.837	-28.280	-38.117
0.130	190.000	1.120	1.020	4.845	5.100	-7.707	-29.917	-37.623
0.130	200.000	1.120	1.020	4.845	5.100	-7.321	-29.917	-37.238

0.140	10.000	1.008	0.765	4.845	4.845	-209.603	-9.485	-219.088
0.140	20.000	1.008	1.020	4.845	5.100	-88.537	-30.455	-118.992
0.140	30.000	1.008	1.020	4.845	5.100	-59.024	-30.455	-89.479
0.140	40.000	1.008	1.020	4.845	5.100	-44.268	-30.455	-74.723
0.140	50.000	1.008	1.020	4.845	5.100	-35.415	-30.455	-65.870
0.140	60.000	1.008	1.020	5.100	4.845	-29.512	-30.455	-59.967
0.140	70.000	1.008	1.020	5.100	4.845	-25.296	-30.455	-55.751
0.140	80.000	1.008	1.020	5.100	4.845	-22.134	-30.455	-52.589
0.140	90.000	1.008	1.020	4.845	5.100	-19.675	-30.455	-50.130
0.140	100.000	1.008	1.020	5.100	4.845	-17.707	-30.455	-48.162
0.140	110.000	1.008	1.020	5.100	4.845	-16.098	-30.455	-46.553
0.140	120.000	1.008	1.020	4.845	5.100	-14.756	-30.455	-45.211
0.140	130.000	1.008	1.020	4.845	5.100	-13.621	-30.455	-44.076
0.140	140.000	1.008	1.020	5.100	4.845	-12.648	-30.455	-43.103
0.140	150.000	1.008	1.020	5.100	4.845	-11.805	-30.455	-42.260
0.140	160.000	1.008	1.020	5.100	4.845	-11.067	-30.455	-41.522
0.140	170.000	1.008	1.020	4.845	5.100	-10.416	-30.455	-40.871
0.140	180.000	1.120	1.020	4.845	5.100	-8.135	-32.218	-40.353
0.140	190.000	1.120	1.020	4.845	5.100	-7.707	-32.218	-39.924
0.140	200.000	1.120	1.020	4.845	5.100	-7.321	-32.218	-39.539

0.150	10.000	1.008	0.765	4.845	4.845	-209.603	-10.163	-219.765
0.150	20.000	1.008	1.020	5.100	4.845	-88.537	-32.630	-121.167
0.150	30.000	1.008	1.020	5.100	4.845	-59.024	-32.630	-91.655
0.150	40.000	1.008	1.020	5.100	4.845	-44.268	-32.630	-76.899
0.150	50.000	1.008	1.020	5.100	4.845	-35.415	-32.630	-68.045
0.150	60.000	1.008	1.020	5.100	4.845	-29.512	-32.630	-62.143
0.150	70.000	1.008	1.020	5.100	4.845	-25.296	-32.630	-57.927
0.150	80.000	1.008	1.020	5.100	4.845	-22.134	-32.630	-54.765
0.150	90.000	1.008	1.020	5.100	4.845	-19.675	-32.630	-52.305
0.150	100.000	1.008	1.020	5.100	4.845	-17.707	-32.630	-50.338
0.150	110.000	1.008	1.020	5.100	4.845	-16.098	-32.630	-48.728
0.150	120.000	1.008	1.020	4.845	5.100	-14.756	-32.630	-47.387
0.150	130.000	1.008	1.020	5.100	4.845	-13.621	-32.630	-46.251
0.150	140.000	1.008	1.020	5.100	4.845	-12.648	-32.630	-45.278
0.150	150.000	1.008	1.020	5.100	4.845	-11.805	-32.630	-44.435
0.150	160.000	1.008	1.020	5.100	4.845	-11.067	-32.630	-43.697
0.150	170.000	1.120	1.020	4.845	5.100	-8.613	-34.519	-43.132
0.150	180.000	1.120	1.020	4.845	5.100	-8.135	-34.519	-42.654
0.150	190.000	1.120	1.020	4.845	5.100	-7.707	-34.519	-42.226
0.150	200.000	1.120	1.020	4.845	5.100	-7.321	-34.519	-41.840

0.160	10.000	1.008	0.765	4.845	4.845	-209.603	-10.840	-220.443
0.160	20.000	1.008	1.020	4.845	5.100	-88.537	-34.806	-123.342
0.160	30.000	1.008	1.020	4.845	5.100	-59.024	-34.806	-93.830
0.160	40.000	1.008	1.020	4.845	5.100	-44.268	-34.806	-79.074
0.160	50.000	1.008	1.020	4.845	5.100	-35.415	-34.806	-70.220
0.160	60.000	1.008	1.020	5.100	4.845	-29.512	-34.806	-64.318
0.160	70.000	1.008	1.020	5.100	4.845	-25.296	-34.806	-60.102
0.160	80.000	1.008	1.020	5.100	4.845	-22.134	-34.806	-56.940
0.160	90.000	1.008	1.020	5.100	4.845	-19.675	-34.806	-54.481
0.160	100.000	1.008	1.020	5.100	4.845	-17.707	-34.806	-52.513
0.160	110.000	1.008	1.020	5.100	4.845	-16.098	-34.806	-50.903
0.160	120.000	1.008	1.020	4.845	5.100	-14.756	-34.806	-49.562
0.160	130.000	1.008	1.020	5.100	4.845	-13.621	-34.806	-48.427
0.160	140.000	1.008	1.020	5.100	4.845	-12.648	-34.806	-47.454
0.160	150.000	1.008	1.020	5.100	4.845	-11.805	-34.806	-46.611
0.160	160.000	1.120	1.020	4.845	5.100	-9.152	-36.820	-45.972
0.160	170.000	1.120	1.020	4.845	5.100	-8.613	-36.820	-45.434
0.160	180.000	1.120	1.020	4.845	5.100	-8.135	-36.820	-44.955
0.160	190.000	1.120	1.020	4.845	5.100	-7.707	-36.820	-44.527
0.160	200.000	1.120	1.020	4.845	5.100	-7.321	-36.820	-44.142

0.170	10.000	1.008	0.765	4.845	4.845	-209.603	-11.518	-221.120
0.170	20.000	1.008	1.020	5.100	4.845	-88.537	-36.981	-125.518
0.170	30.000	1.008	1.020	5.100	4.845	-59.024	-36.981	-96.006
0.170	40.000	1.008	1.020	5.100	4.845	-44.268	-36.981	-81.249
0.170	50.000	1.008	1.020	5.100	4.845	-35.415	-36.981	-72.396
0.170	60.000	1.008	1.020	4.845	5.100	-29.512	-36.981	-66.493
0.170	70.000	1.008	1.020	5.100	4.845	-25.296	-36.981	-62.277
0.170	80.000	1.008	1.020	5.100	4.845	-22.134	-36.981	-59.115
0.170	90.000	1.008	1.020	5.100	4.845	-19.675	-36.981	-56.656
0.170	100.000	1.008	1.020	5.100	4.845	-17.707	-36.981	-54.688
0.170	110.000	1.008	1.020	5.100	4.845	-16.098	-36.981	-53.079
0.170	120.000	1.008	1.020	4.845	5.100	-14.756	-36.981	-51.737
0.170	130.000	1.008	1.020	5.100	4.845	-13.621	-36.981	-50.602
0.170	140.000	1.008	1.020	5.100	4.845	-12.648	-36.981	-49.629
0.170	150.000	1.120	1.020	4.845	5.100	-9.762	-39.122	-48.883
0.170	160.000	1.120	1.020	4.845	5.100	-9.152	-39.122	-48.273
0.170	170.000	1.120	1.020	4.845	5.100	-8.613	-39.122	-47.735
0.170	180.000	1.120	1.020	4.845	5.100	-8.135	-39.122	-47.256
0.170	190.000	1.120	1.020	4.845	5.100	-7.707	-39.122	-46.828
0.170	200.000	1.120	1.020	4.845	5.100	-7.321	-39.122	-46.443

0.180	10.000	1.008	0.765	4.845	4.845	-209.603	-12.195	-221.798
0.180	20.000	1.008	1.020	5.100	4.845	-88.537	-39.156	-127.693
0.180	30.000	1.008	1.020	5.100	4.845	-59.024	-39.156	-98.181
0.180	40.000	1.008	1.020	4.845	5.100	-44.268	-39.156	-83.425
0.180	50.000	1.008	1.020	4.845	5.100	-35.415	-39.156	-74.571
0.180	60.000	1.008	1.020	5.100	4.845	-29.512	-39.156	-68.669
